response_id,customer_id,survey_date,region,customer_segment,industry,response_channel,service_category,nps_score,csat_score,resolution_days,issue_resolved,feedback_text
RSP-0046,CUST-3157,2025-09-14,Latin America,Mid-Market,Technology,In-App,Product,6,3,21,Yes,Delivery took twice as long as promised.
RSP-0047,CUST-5158,2025-02-24,Europe,Mid-Market,Technology,Email,Customer Support,9,5,2,Yes,The team went above and beyond to help us with our migration.
RSP-0048,CUST-5158,2025-11-08,Europe,Enterprise,Healthcare,Phone,Quality,5,1,4,No,Pricing is way too high for the features provided.
RSP-0049,CUST-2252,2025-07-11,Europe,Enterprise,Technology,Web,Product,9,5,1,Yes,Super fast delivery and pristine quality. Highly recommended!
RSP-0050,CUST-1004,2025-11-03,Middle East & Africa,Mid-Market,Healthcare,Web,Pricing,10,5,1,Yes,Smooth experience from purchase to setup. Very satisfied!
RSP-0051,CUST-5002,2025-01-10,Asia-Pacific,Mid-Market,Healthcare,In-App,Product,8,3,3,Yes,"Support resolved the issue, but communication could be better."
RSP-0052,CUST-3973,2025-06-07,North America,Enterprise,Finance,Web,Customer Support,10,3,1,Yes,Great value for money and outstanding service reliability.
RSP-0053,CUST-1474,2025-05-04,North America,SMB,Technology,In-App,Product,10,3,3,Yes,Fantastic product! Has significantly improved our team productivity.
RSP-0054,CUST-1701,2025-09-06,Europe,SMB,Healthcare,Phone,Customer Support,7,4,3,No,"Support resolved the issue, but communication could be better."
RSP-0055,CUST-2030,2025-03-07,North America,Mid-Market,Manufacturing,In-App,Delivery,6,1,4,Yes,Billing error was not resolved on time.
RSP-0056,CUST-2352,2025-05-16,North America,Mid-Market,Technology,In-App,Pricing,6,2,5,No,Platform UI is slow and unintuitive.
RSP-0057,CUST-4466,2025-04-19,Asia-Pacific,Enterprise,Manufacturing,Web,Pricing,7,4,3,No,"Pricing is fair, but onboarding was slightly confusing."
RSP-0058,CUST-3553,2025-07-24,Latin America,Enterprise,Technology,Email,Quality,10,4,1,Yes,Smooth experience from purchase to setup. Very satisfied!
RSP-0059,CUST-4588,2025-09-22,Middle East & Africa,SMB,Retail,Phone,Delivery,2,3,14,No,Billing error was not resolved on time.
RSP-0060,CUST-1991,2025-05-07,Middle East & Africa,SMB,Finance,Web,Pricing,8,3,3,Yes,"Pricing is fair, but onboarding was slightly confusing."
RSP-0061,CUST-1524,2025-06-23,Middle East & Africa,Mid-Market,Technology,Web,Customer Support,7,3,3,Yes,"Product works fine, but missing key integrations."
RSP-0062,CUST-2885,2025-10-29,Asia-Pacific,Mid-Market,Retail,Phone,Customer Support,10,5,1,Yes,Great value for money and outstanding service reliability.
RSP-0063,CUST-1058,2025-02-06,Asia-Pacific,Mid-Market,Finance,Email,Product,0,1,7,Yes,Support response was extremely slow and unhelpful.
RSP-0064,CUST-2875,2025-02-04,Europe,SMB,Technology,Phone,Quality,5,2,14,No,Support response was extremely slow and unhelpful.
RSP-0065,CUST-3706,2025-02-06,North America,SMB,Healthcare,Email,Delivery,10,5,1,Yes,Great value for money and outstanding service reliability.
RSP-0066,CUST-3281,2025-12-09,North America,Enterprise,Technology,Email,Product,3,2,4,Yes,Billing error was not resolved on time.
RSP-0067,CUST-2755,2025-10-04,Latin America,Mid-Market,Unknown,Email,Product,1,1,5,Yes,Delivery took twice as long as promised.
RSP-0068,CUST-4872,2025-05-05,North America,Enterprise,Healthcare,Email,Delivery,5,2,4,No,Billing error was not resolved on time.
RSP-0069,CUST-4334,2025-04-08,Europe,Enterprise,Retail,In-App,Product,6,2,10,Yes,Product keeps crashing after the latest update.
RSP-0070,CUST-1794,2025-12-04,North America,Mid-Market,Healthcare,Phone,Delivery,4,2,4,Yes,Customer service agent was rude and transferred me three times.
RSP-0071,CUST-3902,2025-08-05,Asia-Pacific,SMB,Healthcare,Phone,Product,7,4,2,Yes,"Decent features for SMBs, but needs better reporting tools."
RSP-0072,CUST-4825,2025-01-28,North America,Enterprise,Technology,Email,Delivery,1,3,7,No,Product keeps crashing after the latest update.
RSP-0073,CUST-1496,2025-07-26,Asia-Pacific,Mid-Market,Technology,Phone,Customer Support,9,5,1,Yes,Smooth experience from purchase to setup. Very satisfied!
RSP-0074,CUST-1895,2025-05-08,North America,Mid-Market,Finance,Email,Pricing,6,1,4,Yes,Pricing is way too high for the features provided.
RSP-0075,CUST-2558,2025-10-02,North America,Enterprise,Technology,Email,Product,10,4,1,Yes,Best customer service team in the industry. Kudos!
RSP-0076,CUST-2148,2025-08-05,Middle East & Africa,Enterprise,Healthcare,In-App,Quality,9,5,1,Yes,Super fast delivery and pristine quality. Highly recommended!
RSP-0077,CUST-3281,2025-08-25,Latin America,Mid-Market,Finance,Email,Customer Support,4,1,5,Yes,Pricing is way too high for the features provided.
RSP-0078,CUST-1617,2025-08-15,North America,Enterprise,Finance,Email,Customer Support,4,2,7,Yes,Platform UI is slow and unintuitive.
RSP-0079,CUST-1802,2025-01-26,North America,Enterprise,Technology,In-App,Delivery,7,4,3,Yes,"Product works fine, but missing key integrations."
RSP-0080,CUST-1764,2025-05-02,Europe,Mid-Market,Healthcare,Email,Pricing,8,5,2,Yes,"Average experience, nothing exceptional to report."
RSP-0081,CUST-4329,2025-09-06,Latin America,Enterprise,Technology,Web,Customer Support,10,4,2,Yes,Best customer service team in the industry. Kudos!
RSP-0082,CUST-2751,2025-07-25,North America,Enterprise,Retail,Phone,Customer Support,7,5,3,Yes,"Product works fine, but missing key integrations."
RSP-0083,CUST-2348,2025-07-14,Europe,Mid-Market,Healthcare,Email,Customer Support,8,3,4,Yes,"Product works fine, but missing key integrations."
RSP-0084,CUST-4198,2025-05-16,Europe,SMB,Finance,Email,Pricing,6,1,4,No,Billing error was not resolved on time.
RSP-0085,CUST-3336,2025-08-05,Europe,Mid-Market,Retail,Web,Product,6,1,10,Yes,Platform UI is slow and unintuitive.
RSP-0086,CUST-4986,2025-03-21,Europe,SMB,Retail,Email,Quality,2,2,4,Yes,Pricing is way too high for the features provided.
RSP-0087,CUST-3430,2025-04-22,Asia-Pacific,Enterprise,Technology,Web,Customer Support,8,4,3,Yes,"Product works fine, but missing key integrations."
RSP-0088,CUST-1499,2025-06-10,North America,Enterprise,Manufacturing,Phone,Delivery,4,3,4,Yes,Support response was extremely slow and unhelpful.
RSP-0089,CUST-1410,2025-10-27,Europe,Mid-Market,Technology,Web,Pricing,5,2,14,No,Billing error was not resolved on time.
RSP-0090,CUST-5119,2025-09-29,North America,Mid-Market,Finance,Phone,Customer Support,10,5,1,Yes,Super fast delivery and pristine quality. Highly recommended!
RSP-0091,CUST-1465,2025-09-18,Middle East & Africa,SMB,Technology,In-App,Quality,6,2,5,Yes,Product keeps crashing after the latest update.
RSP-0092,CUST-2522,2025-02-05,North America,SMB,Technology,Email,Delivery,5,3,5,Yes,Frequent downtime impacted our business operations.
RSP-0093,CUST-1556,2025-12-12,Asia-Pacific,Mid-Market,Technology,Phone,Product,4,2,5,No,Pricing is way too high for the features provided.
RSP-0094,CUST-4307,2025-03-03,North America,Mid-Market,Finance,Email,Customer Support,4,3,4,Yes,Frequent downtime impacted our business operations.
RSP-0095,CUST-3016,2025-10-24,North America,SMB,Healthcare,Phone,Product,9,5,2,Yes,Exceptional customer support! Issue resolved within an hour.
RSP-0096,CUST-1671,2025-08-03,North America,Enterprise,Healthcare,Phone,Product,9,5,1,Yes,Smooth experience from purchase to setup. Very satisfied!
RSP-0097,CUST-3136,2025-04-15,Europe,Mid-Market,Technology,Email,Quality,10,5,1,Yes,Smooth experience from purchase to setup. Very satisfied!
RSP-0098,CUST-2955,2025-05-16,Europe,Enterprise,Technology,Web,Customer Support,0,1,5,No,Customer service agent was rude and transferred me three times.
RSP-0099,CUST-2072,2025-12-10,North America,Enterprise,Retail,Email,Customer Support,5,1,5,No,Quality has visibly degraded over the last few months.
RSP-0100,CUST-4745,2025-06-11,Asia-Pacific,SMB,Healthcare,Phone,Product,6,3,4,Yes,Product keeps crashing after the latest update.
RSP-0101,CUST-1076,2025-08-23,North America,Enterprise,Technology,Phone,Delivery,8,4,3,Yes,"Support resolved the issue, but communication could be better."
RSP-0102,CUST-1600,2025-10-03,North America,Mid-Market,Technology,Phone,Delivery,5,1,5,No,Pricing is way too high for the features provided.
RSP-0103,CUST-5144,2025-05-16,Asia-Pacific,Enterprise,Retail,Phone,Quality,8,4,2,Yes,"Average experience, nothing exceptional to report."
RSP-0104,CUST-3859,2025-02-05,Europe,Mid-Market,Technology,Email,Quality,10,5,1,Yes,Great value for money and outstanding service reliability.
RSP-0105,CUST-4027,2025-05-26,North America,SMB,Technology,Phone,Product,8,4,4,Yes,"Average experience, nothing exceptional to report."
RSP-0106,CUST-4589,2025-10-06,North America,Enterprise,Manufacturing,Web,Customer Support,8,4,2,No,"Delivery was on time, product packaging was slightly damaged."
RSP-0107,CUST-1064,2025-12-08,Europe,Mid-Market,Healthcare,Email,Product,9,4,1,Yes,The team went above and beyond to help us with our migration.
RSP-0108,CUST-1848,2025-03-10,North America,Mid-Market,Healthcare,Web,Product,8,4,3,No,"Delivery was on time, product packaging was slightly damaged."
RSP-0109,CUST-1945,2025-02-24,Asia-Pacific,Enterprise,Technology,Email,Customer Support,1,2,7,Yes,Platform UI is slow and unintuitive.
RSP-0110,CUST-2273,2025-05-20,Asia-Pacific,Enterprise,Technology,Web,Delivery,6,1,5,No,Quality has visibly degraded over the last few months.
RSP-0111,CUST-2725,2025-06-25,Asia-Pacific,Mid-Market,Technology,Phone,Delivery,0,3,4,No,Pricing is way too high for the features provided.
RSP-0112,CUST-3162,2025-09-16,Europe,Enterprise,Healthcare,Web,Customer Support,9,5,1,Yes,Best customer service team in the industry. Kudos!
RSP-0113,CUST-3057,2025-01-27,North America,Mid-Market,Technology,In-App,Pricing,0,2,14,Yes,Product keeps crashing after the latest update.
RSP-0114,CUST-4469,2025-05-22,Europe,SMB,Technology,Web,Product,10,5,3,Yes,Exceptional customer support! Issue resolved within an hour.
RSP-0115,CUST-1029,2025-06-20,Latin America,SMB,Technology,Web,Product,8,3,2,Yes,"Average experience, nothing exceptional to report."
RSP-0116,CUST-3145,2025-03-24,Asia-Pacific,Mid-Market,Finance,Email,Delivery,5,2,5,Yes,Billing error was not resolved on time.
RSP-0117,CUST-4503,2025-10-15,Latin America,Mid-Market,Technology,Email,Quality,0,3,7,No,Support response was extremely slow and unhelpful.
RSP-0118,CUST-1916,2025-02-08,Asia-Pacific,SMB,Healthcare,Web,Delivery,4,2,14,No,Delivery took twice as long as promised.
RSP-0119,CUST-1295,2025-07-09,Asia-Pacific,Mid-Market,Healthcare,Web,Product,3,1,5,Yes,Frequent downtime impacted our business operations.
RSP-0120,CUST-2213,2025-08-09,North America,Enterprise,Technology,In-App,Delivery,4,2,5,No,Delivery took twice as long as promised.
RSP-0121,CUST-1342,2025-06-07,Asia-Pacific,Enterprise,Healthcare,Web,Pricing,4,2,4,No,"Issue took over a week to resolve, very frustrating."
RSP-0122,CUST-1326,2025-07-03,North America,SMB,Finance,Phone,Delivery,2,1,5,Yes,Pricing is way too high for the features provided.
RSP-0123,CUST-3044,2025-12-08,Asia-Pacific,Mid-Market,Technology,In-App,Quality,10,5,1,Yes,Fantastic product! Has significantly improved our team productivity.
RSP-0124,CUST-3897,2025-10-14,Asia-Pacific,Mid-Market,Technology,Web,Product,5,2,7,Yes,Customer service agent was rude and transferred me three times.
RSP-0125,CUST-2266,2025-05-02,North America,SMB,Technology,Email,Quality,10,5,2,Yes,Super fast delivery and pristine quality. Highly recommended!
RSP-0126,CUST-2450,2025-07-31,Europe,Enterprise,Healthcare,Email,Product,9,5,1,Yes,Exceptional customer support! Issue resolved within an hour.
RSP-0127,CUST-2469,2025-06-20,Asia-Pacific,Enterprise,Retail,Phone,Delivery,5,2,5,No,Customer service agent was rude and transferred me three times.
RSP-0128,CUST-3032,2025-05-17,Europe,Mid-Market,Retail,Web,Customer Support,10,5,2,Yes,Super fast delivery and pristine quality. Highly recommended!
RSP-0129,CUST-1885,2025-07-15,Asia-Pacific,Mid-Market,Finance,Web,Product,10,5,1,Yes,Exceptional customer support! Issue resolved within an hour.
RSP-0130,CUST-4855,2025-04-24,North America,Mid-Market,Finance,Email,Quality,9,5,1,Yes,Great value for money and outstanding service reliability.
RSP-0131,CUST-4770,2025-06-29,Europe,SMB,Finance,Email,Customer Support,8,4,2,Yes,"Delivery was on time, product packaging was slightly damaged."
RSP-0132,CUST-2864,2025-04-25,Europe,SMB,Technology,Phone,Pricing,1,3,7,Yes,Support response was extremely slow and unhelpful.
RSP-0133,CUST-2582,2025-07-24,North America,SMB,Technology,Phone,Delivery,6,1,14,No,"Issue took over a week to resolve, very frustrating."
RSP-0134,CUST-3282,2025-02-05,Middle East & Africa,SMB,Technology,Web,Product,0,1,7,No,Quality has visibly degraded over the last few months.
RSP-0135,CUST-3876,2025-11-25,Asia-Pacific,Mid-Market,Technology,In-App,Delivery,4,1,10,No,Platform UI is slow and unintuitive.
RSP-0136,CUST-4274,2025-12-14,North America,Enterprise,Finance,Phone,Product,10,4,1,Yes,Smooth experience from purchase to setup. Very satisfied!
RSP-0137,CUST-1226,2025-03-01,Europe,Mid-Market,Healthcare,Email,Pricing,4,3,5,Yes,Quality has visibly degraded over the last few months.
RSP-0138,CUST-2462,2025-10-25,North America,Mid-Market,Healthcare,Web,Delivery,10,4,2,Yes,The team went above and beyond to help us with our migration.
RSP-0139,CUST-1313,2025-02-25,Asia-Pacific,SMB,Finance,Phone,Product,1,3,7,No,Frequent downtime impacted our business operations.
RSP-0140,CUST-4559,2025-06-26,Europe,Enterprise,Technology,Web,Delivery,2,2,4,Yes,"Issue took over a week to resolve, very frustrating."
RSP-0141,CUST-4574,2025-11-07,North America,SMB,Technology,Phone,Product,2,1,7,Yes,Platform UI is slow and unintuitive.
RSP-0142,CUST-1947,2025-07-17,North America,Mid-Market,Retail,Web,Product,8,3,2,No,"Pricing is fair, but onboarding was slightly confusing."
RSP-0143,CUST-3086,2025-01-23,North America,Mid-Market,Finance,Web,Customer Support,0,1,7,Yes,Customer service agent was rude and transferred me three times.
RSP-0144,CUST-1013,2025-09-24,North America,Enterprise,Technology,Email,Product,8,4,4,Yes,"Pricing is fair, but onboarding was slightly confusing."
RSP-0145,CUST-3983,2025-08-09,North America,Enterprise,Finance,Web,Product,10,4,1,Yes,Fantastic product! Has significantly improved our team productivity.
RSP-0146,CUST-3704,2025-11-16,Latin America,SMB,Retail,Email,Quality,1,3,7,No,"Issue took over a week to resolve, very frustrating."
RSP-0148,CUST-3533,2025-12-08,North America,SMB,Technology,Email,Quality,7,4,3,Yes,"Decent features for SMBs, but needs better reporting tools."
RSP-0149,CUST-3672,2025-07-26,North America,SMB,Manufacturing,Phone,Product,9,4,1,Yes,The team went above and beyond to help us with our migration.
RSP-0150,CUST-2042,2025-04-09,Europe,SMB,Finance,Web,Delivery,3,1,21,Yes,Customer service agent was rude and transferred me three times.
RSP-0151,CUST-4105,2025-12-13,Latin America,Mid-Market,Healthcare,Web,Delivery,8,5,3,Yes,"Average experience, nothing exceptional to report."
RSP-0152,CUST-3465,2025-07-27,Europe,SMB,Technology,Phone,Customer Support,9,4,2,Yes,Exceptional customer support! Issue resolved within an hour.
RSP-0153,CUST-3489,2025-05-27,North America,Enterprise,Manufacturing,Email,Quality,6,1,14,Yes,Pricing is way too high for the features provided.
RSP-0154,CUST-4521,2025-10-24,Europe,Mid-Market,Finance,Email,Delivery,10,5,1,Yes,Smooth experience from purchase to setup. Very satisfied!
RSP-0155,CUST-4809,2025-08-15,Asia-Pacific,Enterprise,Manufacturing,Phone,Product,2,1,7,Yes,Billing error was not resolved on time.
RSP-0156,CUST-2750,2025-09-19,Asia-Pacific,Mid-Market,Technology,Phone,Customer Support,4,1,4,No,Billing error was not resolved on time.
RSP-0157,CUST-2390,2025-12-04,Europe,Mid-Market,Retail,Web,Customer Support,10,5,1,Yes,Fantastic product! Has significantly improved our team productivity.
RSP-0158,CUST-3324,2025-09-21,North America,Mid-Market,Manufacturing,Email,Product,7,5,3,Yes,"Acceptable response time, issue was eventually fixed."
RSP-0159,CUST-1765,2025-05-01,North America,Enterprise,Manufacturing,In-App,Product,10,5,2,Yes,The team went above and beyond to help us with our migration.
RSP-0160,CUST-2840,2025-04-12,Europe,Mid-Market,Finance,Email,Product,6,2,5,No,Delivery took twice as long as promised.
RSP-0161,CUST-1200,2025-01-24,Middle East & Africa,Enterprise,Finance,Phone,Quality,3,2,10,No,Pricing is way too high for the features provided.
RSP-0162,CUST-4892,2025-11-09,Asia-Pacific,Mid-Market,Finance,Web,Customer Support,1,3,7,No,Product keeps crashing after the latest update.
RSP-0163,CUST-4730,2025-08-01,North America,Mid-Market,Healthcare,Phone,Product,9,5,1,No,Great value for money and outstanding service reliability.
RSP-0164,CUST-4145,2025-09-11,Europe,SMB,Retail,Phone,Customer Support,10,5,1,Yes,Top-tier enterprise platform with excellent security features.
RSP-0165,CUST-2998,2025-03-17,Asia-Pacific,SMB,Retail,Phone,Quality,2,2,4,Yes,Support response was extremely slow and unhelpful.
RSP-0166,CUST-1873,2025-08-06,North America,Mid-Market,Finance,Email,Delivery,2,1,5,Yes,Pricing is way too high for the features provided.
RSP-0167,CUST-2440,2025-12-23,Europe,Mid-Market,Finance,Phone,Delivery,8,4,3,Yes,"Service is okay, expecting more frequent software updates."
RSP-0168,CUST-1411,2025-10-13,North America,Mid-Market,Healthcare,Phone,Customer Support,8,4,4,Yes,"Pricing is fair, but onboarding was slightly confusing."
RSP-0169,CUST-1994,2025-08-22,Middle East & Africa,Enterprise,Technology,Email,Customer Support,10,5,3,Yes,Super fast delivery and pristine quality. Highly recommended!
RSP-0170,CUST-4806,2025-12-08,Latin America,Mid-Market,Technology,Phone,Product,6,1,10,Yes,Platform UI is slow and unintuitive.
RSP-0171,CUST-3599,2025-08-15,North America,Mid-Market,Finance,Email,Delivery,1,1,7,Yes,Frequent downtime impacted our business operations.
RSP-0172,CUST-5135,2025-08-07,Europe,SMB,Technology,Phone,Product,10,5,2,Yes,Best customer service team in the industry. Kudos!
RSP-0173,CUST-2303,2025-09-01,North America,Mid-Market,Manufacturing,Phone,Quality,9,5,1,Yes,Best customer service team in the industry. Kudos!
RSP-0174,CUST-3123,2025-05-07,Europe,SMB,Manufacturing,Email,Product,9,5,2,Yes,The team went above and beyond to help us with our migration.
RSP-0175,CUST-4969,2025-11-17,Europe,Enterprise,Finance,Phone,Customer Support,4,2,14,Yes,Pricing is way too high for the features provided.
RSP-0176,CUST-3249,2025-08-14,North America,Enterprise,Finance,Phone,Customer Support,5,1,7,Yes,Product keeps crashing after the latest update.
RSP-0177,CUST-3340,2025-05-01,Middle East & Africa,Enterprise,Finance,Email,Delivery,6,2,21,Yes,Quality has visibly degraded over the last few months.
RSP-0178,CUST-3751,2025-06-13,North America,SMB,Finance,Email,Product,2,3,4,Yes,Platform UI is slow and unintuitive.
RSP-0179,CUST-1660,2025-03-12,North America,Mid-Market,Technology,Phone,Product,9,5,1,Yes,Super fast delivery and pristine quality. Highly recommended!
RSP-0180,CUST-2894,2025-07-16,Europe,Mid-Market,Technology,Email,Customer Support,10,5,1,Yes,Super fast delivery and pristine quality. Highly recommended!
RSP-0181,CUST-2752,2025-02-02,Europe,Enterprise,Finance,In-App,Product,9,5,1,Yes,Top-tier enterprise platform with excellent security features.
RSP-0182,CUST-4339,2025-06-19,Europe,SMB,Technology,Phone,Quality,10,5,1,Yes,Best customer service team in the industry. Kudos!
RSP-0183,CUST-4406,2025-02-01,Middle East & Africa,SMB,Healthcare,Web,Customer Support,8,3,4,Yes,"Pricing is fair, but onboarding was slightly confusing."
RSP-0184,CUST-4441,2025-07-19,Asia-Pacific,SMB,Finance,Email,Delivery,2,1,4,No,Frequent downtime impacted our business operations.
RSP-0185,CUST-1160,2025-10-22,Europe,Mid-Market,Healthcare,Phone,Customer Support,8,5,3,No,"Decent features for SMBs, but needs better reporting tools."
RSP-0186,CUST-4907,2025-01-04,Asia-Pacific,Enterprise,Manufacturing,Email,Quality,5,3,14,No,"Issue took over a week to resolve, very frustrating."
RSP-0187,CUST-3446,2025-07-19,Asia-Pacific,Mid-Market,Technology,Email,Product,9,5,3,Yes,Top-tier enterprise platform with excellent security features.
RSP-0189,CUST-3235,2025-08-12,North America,Enterprise,Healthcare,Email,Product,3,3,7,No,Billing error was not resolved on time.
RSP-0190,CUST-1237,2025-07-19,Europe,Mid-Market,Healthcare,Phone,Product,8,3,3,Yes,"Acceptable response time, issue was eventually fixed."
RSP-0191,CUST-4312,2025-03-26,North America,Enterprise,Retail,Phone,Product,10,4,1,No,Best customer service team in the industry. Kudos!
RSP-0192,CUST-2045,2025-11-15,North America,Enterprise,Technology,Email,Product,9,4,1,No,Exceptional customer support! Issue resolved within an hour.
RSP-0193,CUST-4227,2025-10-31,Asia-Pacific,Mid-Market,Technology,Phone,Customer Support,7,3,4,Yes,"Product works fine, but missing key integrations."
RSP-0194,CUST-1687,2025-11-26,North America,Mid-Market,Healthcare,Web,Customer Support,9,4,1,Yes,Top-tier enterprise platform with excellent security features.
RSP-0195,CUST-2111,2025-08-25,North America,Mid-Market,Finance,Email,Customer Support,5,1,5,No,Delivery took twice as long as promised.
